name,price,rating,ram,display,camera,battery,processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,999",4.2,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹12,999",4.3,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"POCO M7 5G (Mint Green, 128 GB)","₹10,499",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"POCO M7 5G (Ocean Blue, 128 GB)","₹9,499",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹8,499",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Motorola G85 5G (Olive Green, 128 GB)","₹15,999",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor
"realme P3x 5G (Midnight Blue, 128 GB)","₹12,999",4.4,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,999",4.5,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor
"vivo T4x 5G (Pronto Purple, 256 GB)","₹16,999",4.5,8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor
"Motorola G85 5G (Cobalt Blue, 128 GB)","₹15,999",4.4,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor
"POCO M7 5G (Satin Black, 128 GB)","₹9,499",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,999",4.4,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹20,999",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"POCO M7 5G (Satin Black, 128 GB)","₹10,499",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹10,488",4.2,4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"realme P3x 5G (Stellar Pink, 128 GB)","₹12,999",4.4,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"Motorola Edge 50 Fusion (Forest Green, 256 GB)","₹20,999",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹20,999",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,T760 Processor
"realme P3 5G (Space Silver, 256 GB)","₹18,499",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,6 Gen 4 Processor
"Nothing Phone (3a) (White, 128 GB)","₹24,999",4.5,8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","₹10,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,499",4.2,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹12,999",4.3,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"vivo T4x 5G (Marine Blue, 128 GB)","₹14,999",4.5,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹22,999",4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery,Dimensity 7400 Processor
"realme C75 5G (Purple Blossom, 128 GB)","₹12,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
